id,test,expected_result,tolerance,observed_value,evidence_reference,reviewer,executed_at,status,owner,remediation,retest_date
QA-01,Intended grain and row counts,Match v2 workbook metadata,N/A,,,,,OPEN,,,
QA-02,Net revenue reconciliation,Excel tie-out within tolerance; OPEX fact loaded at cost-center-month grain,VND 100m,,,,,OPEN,,,
QA-03,Gross profit reconciliation,Net revenue minus COGS equals Excel,VND 100m,,,,,OPEN,,,
QA-04,Channel contribution reconciliation,Channel total equals total contribution,VND 100m,,,,,OPEN,,,
QA-05,Impossible sales values,Negative revenue units and COGS count equals zero,0,,,,,OPEN,,,
QA-06,Discount and return bound,Discount plus returns does not exceed gross sales,0 violations,,,,,OPEN,,,
QA-07,Scenario isolation,Actuals unchanged while forecast and variance change,N/A,,,,,OPEN,,,
QA-08,Budget bridge direction,Actual minus budget and waterfall components reconcile; OPEX variances reconcile,VND 100m,,,,,OPEN,,,
QA-09,PVM bridge,Price volume mix and spend reconcile movement,VND 100m,,,,,OPEN,,,
QA-10,Channel hurdle rule,Below-hurdle flag matches CM percent versus hurdle,N/A,,,,,OPEN,,,
QA-11,Cash-cycle convention,CCC equals DSO plus DIO minus DPO,N/A,,,,,OPEN,,,
QA-12,Peer evidence filter,Only approved peer statuses enter trends,0 unapproved rows,,,,,OPEN,,,
QA-13,Peer coverage card,Approved-row coverage and queue count read correctly,N/A,,,,,OPEN,,,
QA-14,Peer margin math,Peer margins equal profit divided by revenue,0 residual,,,,,OPEN,,,
QA-15,Unit and basis labels,Synthetic VND and reported VND bn are visible,N/A,,,,,OPEN,,,
QA-16,VNM caveats,Historical restatement and PAT/PBT caveats are visible,N/A,,,,,OPEN,,,
QA-17,Refresh controls,Timestamp sources anchors and model version populated,N/A,,,,,OPEN,,,
QA-18,Executive reproducibility,Reviewer reaches driver owner and action in under five minutes,<5 min,,,,,OPEN,,,
