requirement_id,scope,requirement,status,evidence_artifacts,evidence_class,verification,next_action
CORE-01,mandatory_core,Commercial P&L,COMPLETE,Excel v2; model contract; executive reconciliation,SIMULATED/DERIVED,Nine model controls PASS; formula scan zero,None
CORE-02,mandatory_core,Actual vs Budget vs Forecast vs Prior Year,COMPLETE,Budget; Forecast_Versions; Variance_Bridge,SIMULATED/DERIVED,Version and scenario fields are explicit,None
CORE-03,mandatory_core,Price Volume Mix and margin bridge,COMPLETE,PVM_Bridge; PVM methodology; QA matrix,SIMULATED/DERIVED,Bridge residual controlled and disclosed,None
CORE-04,mandatory_core,Product and SKU profitability,COMPLETE,Product_Profitability tab; CFO output,SIMULATED/DERIVED,Product contribution and rationalization views reconcile,None
CORE-05,mandatory_core,Customer profitability,COMPLETE,Customer_Profitability tab; methodology pack,SIMULATED/DERIVED,Customer P&L includes discounts rebates returns and delivery,None
CORE-06,mandatory_core,Channel profitability,COMPLETE,Channel_Profitability tab; peer and D2C modules,SIMULATED/DERIVED,Channel revenue and contribution tie to company totals,None
CORE-07,mandatory_core,Twelve month rolling forecast,COMPLETE_WITH_CAVEAT,Forecast_Versions; forecast methodology; capture Sheet,SIMULATED/DERIVED,Freeze protocol and synthetic backtest PASS; live snapshot pending,Replace demo fixture with approved internal snapshot
CORE-08,mandatory_core,Promotion ROI,COMPLETE,"Promotion_Pricing tab; promotion_roi_synthetic.csv; promotion methodology; validator; battle cards",SIMULATED/DERIVED,Incremental CM after spend; ROI hurdle decision; four negative-CM events retained; validator PASS,None
CORE-09,mandatory_core,Pricing simulator,COMPLETE,"Pricing_Simulator tab; pricing_simulator_synthetic.csv; pricing validator; promotion/pricing methodology; assumptions and limitations",SIMULATED/DERIVED,Price-response chain, CM delta and break-even price formula are assumption-labelled; validator PASS,None
CORE-10,mandatory_core,Inventory and aging analysis,COMPLETE,Inventory tab; working-capital module,SIMULATED/DERIVED,Inventory roll-forward and aging controls documented,None
CORE-11,mandatory_core,Cash Conversion Cycle,COMPLETE,Working_Capital tab; Finance Analyst KPI dictionary; MBR pack,SIMULATED/DERIVED,DIO plus DSO minus DPO reconciles,None
CORE-12,mandatory_core,Liquidity and revolver stress testing,COMPLETE,Debt_Liquidity tab; liquidity methodology,SIMULATED/DERIVED,Minimum cash and revolver headroom are formula-driven,None
CORE-13,mandatory_core,Scenario and sensitivity analysis,COMPLETE,Scenario_Analysis; assumptions and limitations,SIMULATED/DERIVED,Base upside margin-pressure and downside cases are separated,None
CORE-14,mandatory_core,Monte Carlo risk overlay,COMPLETE_WITH_CAVEAT,Scenario_MonteCarlo; Monte Carlo methodology,SIMULATED/DERIVED,Seeded output and distribution assumptions documented,None
CORE-15,mandatory_core,Commercial budget reallocation,COMPLETE,"Budget_Allocation tab; budget_reallocation_synthetic.csv; allocation methodology; validator",SIMULATED/DERIVED,Recommended budget equals current budget (VND 4.35bn); capacity and max-increase constraints pass,None
CORE-16,mandatory_core,Industry and peer benchmark,COMPLETE_WITH_CAVEAT,VNM long-run panel; QNS/KDC basis bridge; adjustment-feasibility ledger; peer evidence queue; public guidance proxy,OBSERVED/DERIVED,Source-linked public evidence with basis-break flags; feasibility validator 10/10 PASS,Do not imply perfect comparability; adjusted full-period CAGR remains blocked until entity/gross-to-net bridges are sourced
