metric_id,metric_name,business_definition,formula,numerator_metric_id,denominator_metric_id,grain,unit,period_basis,annualization_rule,evidence_class,approved_source,owner,status,notes
REV_GROSS,Gross Sales,Invoice-level gross sales before discounts/returns,SUM(GrossSalesVND),,,line,VND,calendar month,none,SIMULATED,powerbi/data/final_v1/fact_sales.csv,FP&A,APPROVED,Synthetic operating ledger
REV_NET,Net Revenue,"Gross sales less discounts, returns, rebates and voucher support",REV_GROSS - DISCOUNTS - RETURNS - REBATES - VOUCHERS,REV_GROSS,,line,VND,calendar month,none,DERIVED,powerbi/data/final_v1/fact_sales.csv,FP&A,APPROVED,Must not exceed gross sales
COGS,Corrected COGS,Authoritative COGS allocated to sales lines using documented pro-rata method,SUM(CorrectedCOGSVND),,,line,VND,calendar month,none,DERIVED,powerbi/data/final_v1/fact_sales.csv + fact_commercial_cost.csv,FP&A,APPROVED,Authority tie at month x channel
GROSS_PROFIT,Gross Profit,Net revenue less corrected COGS,REV_NET - COGS,REV_NET,COGS,company/month,VND,calendar month,none,DERIVED,fact_sales.csv,FP&A,APPROVED,
GROSS_MARGIN,Gross Margin %,Gross profit divided by net revenue,GROSS_PROFIT / REV_NET,GROSS_PROFIT,REV_NET,company/month,percent,calendar month,none,DERIVED,fact_sales.csv,FP&A,APPROVED,Ratio tolerance 1 bp
CONTRIBUTION,Contribution Profit,"Net revenue less COGS, channel fees, trade spend and variable fulfilment",REV_NET - COGS - FEES - TRADE_SPEND - FULFILMENT,REV_NET,,line,VND,calendar month,none,DERIVED,fact_sales.csv,Commercial Finance,APPROVED,
CONTRIBUTION_MARGIN,Contribution Margin %,Contribution profit divided by net revenue,CONTRIBUTION / REV_NET,CONTRIBUTION,REV_NET,company/month,percent,calendar month,none,DERIVED,fact_sales.csv,Commercial Finance,APPROVED,
EBITDA_PROXY,EBITDA Proxy,Gross profit less controllable OPEX; explicitly non-statutory,GROSS_PROFIT - OPEX_ACTUAL,GROSS_PROFIT,OPEX_ACTUAL,company/month/scenario,VND,calendar month,none,PROXY_DERIVED,fact_sales.csv + fact_opex_headcount.csv,FP&A,APPROVED,Proxy label required
EBITDA_PROXY_MARGIN,EBITDA Proxy Margin %,EBITDA proxy divided by scenario revenue,EBITDA_PROXY / REV_NET,EBITDA_PROXY,REV_NET,company/month/scenario,percent,calendar month,none,PROXY_DERIVED,scenario_summary.csv,FP&A,APPROVED,Derived; never independently hard-coded
AR_END,Ending AR,Closing trade receivables at period end,SUM(ClosingARVND),,,customer/month,VND,ending balance,none,SIMULATED,fact_ar_snapshot.csv,Treasury,APPROVED,Ending balance
INVENTORY_END,Ending Inventory,Closing inventory value at period end,SUM(ClosingInventoryVND),,,SKU/month,VND,ending balance,none,SIMULATED,fact_inventory_snapshot.csv,Supply Chain Finance,APPROVED,Ending balance
AP_END,Ending AP,Closing trade payables at period end,SUM(ClosingAPVND),,,supplier/month,VND,ending balance,none,SIMULATED,fact_ap_snapshot.csv,Treasury,APPROVED,Ending balance
DSO,Days Sales Outstanding,Ending AR divided by daily net revenue,AR_END / (REV_NET / 30),AR_END,REV_NET,company/month,days,calendar month,30-day month,DERIVED,fact_ar_snapshot.csv + fact_sales.csv,Treasury,APPROVED,Ending AR convention
DIO,Days Inventory Outstanding,Ending inventory divided by daily COGS,INVENTORY_END / (COGS / 30),INVENTORY_END,COGS,company/month,days,calendar month,30-day month,DERIVED,fact_inventory_snapshot.csv + fact_sales.csv,Treasury,APPROVED,Ending inventory convention
DPO,Days Payables Outstanding,Ending AP divided by daily purchases/COGS proxy,AP_END / (PURCHASES / 30),AP_END,PURCHASES,company/month,days,calendar month,30-day month,DERIVED,fact_ap_snapshot.csv,Treasury,APPROVED,Ending AP convention
